Data,Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
20210414,CASTROVILLARI,405,8,1,3,54
20210415,CASTROVILLARI,406,8,1,3,55
20210416,CASTROVILLARI,410,8,1,3,59
20210417,CASTROVILLARI,429,9,1,2,76
20210418,CASTROVILLARI,430,9,-,4,75
20210419,CASTROVILLARI,430,9,-,4,56
20210420,CASTROVILLARI,453,9,-,4,52
20210421,CASTROVILLARI,453,9,-,4,50
20210422,CASTROVILLARI,453,9,-,2,51
20210423,CASTROVILLARI,454,9,-,2,50
20210424,CASTROVILLARI,454,9,1,1,31
20210425,CASTROVILLARI,454,9,1,1,31
20210426,CASTROVILLARI,455,9,1,1,32
20210427,CASTROVILLARI,462,9,1,-,34
20210428,CASTROVILLARI,470,9,1,1,41
20210429,CASTROVILLARI,470,9,1,1,64
20210430,CASTROVILLARI,470,9,1,1,64
20210501,CASTROVILLARI,472,9,1,1,65
20210502,CASTROVILLARI,472,10,-,-,64
20210503,CASTROVILLARI,475,10,-,1,56
20210504,CASTROVILLARI,479,10,-,1,60
20210505,CASTROVILLARI,498,10,-,1,79
20210506,CASTROVILLARI,498,10,-,1,79
20210507,CASTROVILLARI,498,10,-,2,78
20210508,CASTROVILLARI,500,10,-,2,65
20210509,CASTROVILLARI,500,10,-,2,65
20210510,CASTROVILLARI,500,10,-,2,56
20210511,CASTROVILLARI,502,10,-,2,56
20210513,CASTROVILLARI,504,10,-,3,57
20210514,CASTROVILLARI,516,10,-,3,68
20210515,CASTROVILLARI,516,10,-,3,60
20210516,CASTROVILLARI,520,10,-,3,64
20210517,CASTROVILLARI,520,10,-,3,44
20210518,CASTROVILLARI,520,10,-,3,41
20210519,CASTROVILLARI,521,10,-,3,42
20210520,CASTROVILLARI,522,10,-,3,42
20210521,CASTROVILLARI,523,11,-,2,43
20210522,CASTROVILLARI,523,11,-,1,44
20210525,CASTROVILLARI,525,11,-,1,40
20210526,CASTROVILLARI,525,11,-,1,40
20210528,CASTROVILLARI,526,11,-,1,37
20210530,CASTROVILLARI,527,11,-,1,24
20210531,CASTROVILLARI,526,11,-,-,23
20210601,CASTROVILLARI,526,11,-,-,17
20210602,CASTROVILLARI,526,11,-,-,15
20210603,CASTROVILLARI,526,11,-,-,14
20210604,CASTROVILLARI,526,11,-,-,10
20210605,CASTROVILLARI,527,11,-,-,11
20210606,CASTROVILLARI,527,11,-,-,8
20210607,CASTROVILLARI,527,11,-,-,8
20210608,CASTROVILLARI,527,11,-,-,6
20210611,CASTROVILLARI,527,11,-,-,6
20210613,CASTROVILLARI,527,11,-,-,4
20210615,CASTROVILLARI,527,11,-,-,4
20210618,CASTROVILLARI,527,11,-,-,4
20210620,CASTROVILLARI,527,11,-,-,3
20210621,CASTROVILLARI,527,11,-,-,1
20210623,CASTROVILLARI,527,11,-,-,1
20210625,CASTROVILLARI,527,11,-,-,1
20210629,CASTROVILLARI,527,11,-,-,-
20210630,CASTROVILLARI,527,11,-,-,-
20210701,CASTROVILLARI,527,11,-,-,-
20210706,CASTROVILLARI,529,11,-,2,-
20210708,CASTROVILLARI,529,11,-,2,-
20210714,CASTROVILLARI,544,11,-,4,13
20210715,CASTROVILLARI,544,11,-,4,13
20210726,CASTROVILLARI,581,11,-,4,45
20210727,CASTROVILLARI,590,11,-,4,54
20210728,CASTROVILLARI,590,11,-,4,54
20210729,CASTROVILLARI,590,11,-,3,54
20210730,CASTROVILLARI,590,11,-,3,52
20210731,CASTROVILLARI,591,11,-,3,53
20210801,CASTROVILLARI,592,11,-,4,50
20210802,CASTROVILLARI,593,11,-,5,50
20210803,CASTROVILLARI,598,11,-,5,55
20210804,CASTROVILLARI,600,11,-,5,49
20210805,CASTROVILLARI,600,11,-,5,48
20210806,CASTROVILLARI,599,11,-,5,47
20210807,CASTROVILLARI,598,11,-,5,41
20210808,CASTROVILLARI,598,11,-,5,40
20210809,CASTROVILLARI,598,12,-,4,32
20210810,CASTROVILLARI,600,12,-,4,40
20210811,CASTROVILLARI,605,12,-,4,37
20210812,CASTROVILLARI,610,12,-,4,41
20210813,CASTROVILLARI,616,12,-,4,47
20210814,CASTROVILLARI,619,12,-,3,30
20210815,CASTROVILLARI,617,13,-,2,27
20210816,CASTROVILLARI,617,13,-,2,27
20210817,CASTROVILLARI,619,13,-,2,28
20210818,CASTROVILLARI,619,13,-,2,26
20210819,CASTROVILLARI,619,13,-,2,26
20210820,CASTROVILLARI,619,13,-,2,26
20210821,CASTROVILLARI,619,13,-,2,26
20210822,CASTROVILLARI,621,13,-,2,12
20210823,CASTROVILLARI,621,13,-,2,12
20210824,CASTROVILLARI,630,13,-,2,20
20210825,CASTROVILLARI,630,13,-,2,20
20210826,CASTROVILLARI,630,13,-,2,19
20210827,CASTROVILLARI,631,13,-,2,20
20210828,CASTROVILLARI,633,13,-,1,22
20210829,CASTROVILLARI,633,13,-,1,22
20210830,CASTROVILLARI,633,13,-,1,22
20210831,CASTROVILLARI,634,13,-,2,19
20210901,CASTROVILLARI,640,13,-,2,24
20210906,CASTROVILLARI,653,14,-,2,31
20210907,CASTROVILLARI,661,14,-,2,39
20210908,CASTROVILLARI,661,14,-,2,38
20210909,CASTROVILLARI,662,14,-,2,39
20210910,CASTROVILLARI,662,14,-,2,37
20210911,CASTROVILLARI,662,14,-,2,26
20210912,CASTROVILLARI,668,14,-,2,21
20210913,CASTROVILLARI,668,14,-,2,30
20210914,CASTROVILLARI,668,14,-,2,13
20210915,CASTROVILLARI,668,14,-,2,13
20210916,CASTROVILLARI,668,14,-,2,13
20210917,CASTROVILLARI,668,14,-,2,13
20210918,CASTROVILLARI,669,14,-,2,7
