Data,Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
20210414,COSENZA,1691,39,2,16,395
20210415,COSENZA,1713,39,3,17,409
20210416,COSENZA,1724,39,3,17,400
20210417,COSENZA,1731,40,3,16,381
20210418,COSENZA,1756,40,2,16,403
20210419,COSENZA,1758,41,1,18,384
20210420,COSENZA,1760,41,2,19,372
20210421,COSENZA,1780,41,2,20,387
20210422,COSENZA,1784,41,1,21,386
20210423,COSENZA,1813,42,1,19,401
20210424,COSENZA,1815,42,1,20,384
20210425,COSENZA,1863,42,1,21,421
20210426,COSENZA,1863,42,1,21,407
20210427,COSENZA,1866,43,2,22,378
20210428,COSENZA,1906,43,2,23,414
20210429,COSENZA,1920,44,2,22,425
20210430,COSENZA,1931,44,1,20,411
20210501,COSENZA,1938,44,1,22,404
20210502,COSENZA,1957,44,2,22,404
20210503,COSENZA,1958,44,2,21,388
20210504,COSENZA,1958,44,2,20,383
20210505,COSENZA,1966,44,2,20,329
20210506,COSENZA,1966,44,2,20,329
20210507,COSENZA,2009,45,2,19,359
20210508,COSENZA,2020,46,1,20,333
20210509,COSENZA,2047,46,1,20,350
20210510,COSENZA,2053,46,-,22,345
20210511,COSENZA,2054,46,-,22,329
20210513,COSENZA,2084,46,1,29,346
20210514,COSENZA,2092,47,-,30,327
20210515,COSENZA,2107,47,-,28,330
20210516,COSENZA,2109,47,-,25,324
20210517,COSENZA,2118,47,-,22,328
20210518,COSENZA,2118,47,-,21,307
20210519,COSENZA,2130,47,-,20,310
20210520,COSENZA,2144,48,-,20,322
20210521,COSENZA,2144,48,-,18,302
20210522,COSENZA,2149,48,-,18,305
20210525,COSENZA,2156,49,-,17,233
20210526,COSENZA,2172,49,-,17,249
20210528,COSENZA,2180,49,-,18,195
20210530,COSENZA,2191,49,-,20,187
20210531,COSENZA,2192,49,-,21,181
20210601,COSENZA,2207,49,-,20,175
20210602,COSENZA,2216,49,-,20,182
20210603,COSENZA,2224,49,-,20,189
20210604,COSENZA,2227,51,1,15,177
20210605,COSENZA,2234,51,1,12,183
20210606,COSENZA,2239,53,1,9,162
20210607,COSENZA,2239,53,1,9,154
20210608,COSENZA,2239,53,1,9,145
20210611,COSENZA,2266,53,1,10,154
20210613,COSENZA,2273,53,1,10,132
20210615,COSENZA,2274,54,1,8,126
20210618,COSENZA,2278,54,1,5,98
20210620,COSENZA,2283,54,1,6,99
20210621,COSENZA,2283,54,1,6,99
20210623,COSENZA,2292,54,1,5,103
20210625,COSENZA,2292,54,1,5,93
20210629,COSENZA,2295,54,1,4,83
20210630,COSENZA,2296,54,1,5,57
20210701,COSENZA,2297,54,1,4,53
20210706,COSENZA,2294,55,-,4,30
20210708,COSENZA,2295,55,-,4,30
20210714,COSENZA,2300,55,-,4,12
20210715,COSENZA,2300,55,-,4,12
20210726,COSENZA,2314,56,-,4,18
20210727,COSENZA,2318,56,-,4,22
20210728,COSENZA,2321,56,-,5,20
20210729,COSENZA,2321,56,-,4,20
20210730,COSENZA,2324,56,-,4,23
20210731,COSENZA,2324,56,-,4,23
20210801,COSENZA,2328,56,-,1,27
20210802,COSENZA,2328,56,-,1,27
20210803,COSENZA,2328,56,-,1,20
20210804,COSENZA,2337,56,-,1,29
20210805,COSENZA,2339,56,-,2,31
20210806,COSENZA,2341,56,-,2,32
20210807,COSENZA,2348,56,-,2,39
20210808,COSENZA,2352,56,-,1,43
20210809,COSENZA,2353,56,-,1,44
20210810,COSENZA,2353,56,-,1,42
20210811,COSENZA,2368,56,-,1,59
20210812,COSENZA,2379,56,-,2,69
20210813,COSENZA,2386,56,-,2,74
20210814,COSENZA,2389,56,-,2,73
20210815,COSENZA,2393,56,-,2,77
20210816,COSENZA,2394,56,-,2,77
20210817,COSENZA,2394,56,-,2,68
20210818,COSENZA,2395,56,-,2,69
20210819,COSENZA,2398,56,-,2,70
20210820,COSENZA,2399,56,-,2,68
20210821,COSENZA,2402,56,-,2,71
20210822,COSENZA,2404,56,-,2,59
20210823,COSENZA,2404,56,-,2,59
20210824,COSENZA,2417,56,-,2,72
20210825,COSENZA,2421,56,-,2,76
20210826,COSENZA,2429,56,-,2,70
20210827,COSENZA,2433,56,-,3,73
20210828,COSENZA,2441,56,-,4,80
20210829,COSENZA,2443,56,-,4,82
20210830,COSENZA,2444,56,-,5,82
20210831,COSENZA,2440,56,-,5,77
20210901,COSENZA,2446,56,-,6,79
20210906,COSENZA,2468,56,1,3,86
20210907,COSENZA,2468,56,1,2,79
20210908,COSENZA,2482,56,1,3,92
20210909,COSENZA,2502,56,1,4,110
20210910,COSENZA,2503,56,1,4,104
20210911,COSENZA,2507,56,1,4,101
20210912,COSENZA,2508,56,1,4,100
20210913,COSENZA,2509,56,2,4,97
20210914,COSENZA,2509,56,2,4,95
20210915,COSENZA,2512,56,2,4,98
20210916,COSENZA,2519,56,2,3,103
20210917,COSENZA,2519,56,2,3,100
20210918,COSENZA,2521,56,2,3,99
20210919,COSENZA,2525,56,2,4,86
20210920,COSENZA,2525,56,2,5,82
20210921,COSENZA,2524,56,2,4,80
20210922,COSENZA,2532,56,2,4,86
20210923,COSENZA,2534,56,2,4,70
20210924,COSENZA,2535,56,1,5,71
20210925,COSENZA,2546,56,1,4,79
20210926,COSENZA,2550,57,1,3,81
20210927,COSENZA,2550,57,1,3,79
20210928,COSENZA,2552,57,1,5,76
20210929,COSENZA,2557,57,1,5,77
20210930,COSENZA,2560,57,1,5,78
20211001,COSENZA,2560,57,1,5,73
20211002,COSENZA,2562,57,1,4,70
20211003,COSENZA,2564,57,1,4,69
20211004,COSENZA,2564,57,1,4,66
20211005,COSENZA,2565,57,1,4,66
20211006,COSENZA,2567,57,1,4,68
20211007,COSENZA,2570,58,-,5,70
20211008,COSENZA,2572,58,-,4,70
20211009,COSENZA,2574,58,-,4,57
20211010,COSENZA,2578,58,-,4,61
20211011,COSENZA,2581,58,-,4,63
20211019,COSENZA,2593,59,-,-,-
20211020,COSENZA,2598,59,-,-,-
20211021,COSENZA,2607,59,-,-,-
20211022,COSENZA,2607,59,-,-,-
20211023,COSENZA,2613,59,-,-,-
20211024,COSENZA,2616,59,-,-,-
20211025,COSENZA,2616,59,-,-,-
20211026,COSENZA,2617,59,-,-,-
20211027,COSENZA,2621,59,-,-,-
20211028,COSENZA,2624,59,-,-,-
20211029,COSENZA,2625,60,-,-,-
20211030,COSENZA,2626,61,-,-,-
20211031,COSENZA,2636,61,-,-,-
20211101,COSENZA,2636,61,-,-,-
20211102,COSENZA,2636,61,-,-,-
20211103,COSENZA,2637,61,-,-,-
20211104,COSENZA,2643,61,-,-,-
20211105,COSENZA,2644,61,-,-,-
20211106,COSENZA,2651,61,-,-,-
20211107,COSENZA,2650,61,-,-,-
20211108,COSENZA,2652,61,-,-,-
20211109,COSENZA,2651,61,-,-,-
20211110,COSENZA,2656,61,-,-,-
