Data,Comune,Casi da inizio pandemia,Incremento,Settimana,Casi/100000
20210414,COSENZA,1691,0,16,0
20210415,COSENZA,1713,22,16,34
20210416,COSENZA,1724,11,16,50
20210417,COSENZA,1731,7,16,61
20210418,COSENZA,1756,25,16,99
20210419,COSENZA,1758,2,17,102
20210420,COSENZA,1760,2,17,105
20210421,COSENZA,1780,20,17,136
20210422,COSENZA,1784,4,17,108
20210423,COSENZA,1813,29,17,136
20210424,COSENZA,1815,2,17,128
20210425,COSENZA,1863,48,17,163
20210426,COSENZA,1863,0,18,160
20210427,COSENZA,1866,3,18,162
20210428,COSENZA,1906,40,18,192
20210429,COSENZA,1920,14,18,207
20210430,COSENZA,1931,11,18,180
20210501,COSENZA,1938,7,18,188
20210502,COSENZA,1957,19,18,143
20210503,COSENZA,1958,1,19,145
20210504,COSENZA,1958,0,19,140
20210505,COSENZA,1966,8,19,92
20210506,COSENZA,1966,0,19,70
20210507,COSENZA,2009,43,19,119
20210508,COSENZA,2020,11,19,125
20210509,COSENZA,2047,27,19,137
20210510,COSENZA,2053,6,20,145
20210511,COSENZA,2054,1,20,146
20210513,COSENZA,2084,30,20,180
20210514,COSENZA,2092,8,20,192
20210515,COSENZA,2107,15,20,149
20210516,COSENZA,2109,2,20,136
20210517,COSENZA,2118,9,21,108
20210518,COSENZA,2118,0,21,99
20210519,COSENZA,2130,12,21,116
20210520,COSENZA,2144,14,21,92
20210521,COSENZA,2144,0,21,79
20210522,COSENZA,2149,5,21,64
20210525,COSENZA,2156,7,22,72
20210526,COSENZA,2172,16,22,82
20210528,COSENZA,2180,8,22,95
20210530,COSENZA,2191,11,22,93
20210531,COSENZA,2192,1,23,73
20210601,COSENZA,2207,15,23,96
20210602,COSENZA,2216,9,23,102
20210603,COSENZA,2224,8,23,104
20210604,COSENZA,2227,3,23,84
20210605,COSENZA,2234,7,23,82
20210606,COSENZA,2239,5,23,73
20210607,COSENZA,2239,0,24,72
20210608,COSENZA,2239,0,24,49
20210611,COSENZA,2266,27,24,76
20210613,COSENZA,2273,7,24,75
20210615,COSENZA,2274,1,25,72
20210618,COSENZA,2278,4,25,67
