Data,Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
20210414,MONTALTO UFFUGO,474,5,-,6,118
20210415,MONTALTO UFFUGO,476,5,-,7,119
20210416,MONTALTO UFFUGO,476,5,-,7,119
20210417,MONTALTO UFFUGO,487,5,-,6,122
20210418,MONTALTO UFFUGO,510,5,-,7,144
20210419,MONTALTO UFFUGO,516,5,-,8,142
20210420,MONTALTO UFFUGO,516,5,-,8,142
20210421,MONTALTO UFFUGO,516,5,-,7,142
20210422,MONTALTO UFFUGO,521,5,-,8,146
20210423,MONTALTO UFFUGO,556,5,-,7,181
20210424,MONTALTO UFFUGO,556,5,-,7,167
20210425,MONTALTO UFFUGO,588,5,-,6,200
20210426,MONTALTO UFFUGO,590,5,-,8,188
20210427,MONTALTO UFFUGO,591,5,-,8,182
20210428,MONTALTO UFFUGO,599,5,-,8,190
20210429,MONTALTO UFFUGO,609,5,-,7,200
20210430,MONTALTO UFFUGO,610,5,-,7,200
20210501,MONTALTO UFFUGO,622,5,-,6,190
20210502,MONTALTO UFFUGO,624,5,1,5,188
20210503,MONTALTO UFFUGO,624,5,1,5,139
20210504,MONTALTO UFFUGO,624,5,1,5,119
20210505,MONTALTO UFFUGO,626,6,1,4,118
20210506,MONTALTO UFFUGO,626,6,1,4,118
20210507,MONTALTO UFFUGO,631,6,1,4,123
20210508,MONTALTO UFFUGO,638,6,1,4,130
20210509,MONTALTO UFFUGO,646,6,1,5,137
20210510,MONTALTO UFFUGO,658,6,1,5,149
20210511,MONTALTO UFFUGO,658,6,1,5,148
20210513,MONTALTO UFFUGO,662,6,1,6,146
20210514,MONTALTO UFFUGO,664,7,1,3,148
20210515,MONTALTO UFFUGO,664,7,1,3,147
20210516,MONTALTO UFFUGO,669,7,1,3,152
20210517,MONTALTO UFFUGO,669,7,1,4,147
20210518,MONTALTO UFFUGO,669,7,1,4,143
20210519,MONTALTO UFFUGO,673,7,1,4,147
20210520,MONTALTO UFFUGO,673,7,1,4,147
