Data,Comune,Casi da inizio pandemia,Incremento,Settimana,Casi/100000
20210414,MONTALTO UFFUGO,474,0,16,0
20210415,MONTALTO UFFUGO,476,2,16,10
20210416,MONTALTO UFFUGO,476,0,16,10
20210417,MONTALTO UFFUGO,487,11,16,65
20210418,MONTALTO UFFUGO,510,23,16,181
20210419,MONTALTO UFFUGO,516,6,17,211
20210420,MONTALTO UFFUGO,516,0,17,211
20210421,MONTALTO UFFUGO,516,0,17,211
20210422,MONTALTO UFFUGO,521,5,17,226
20210423,MONTALTO UFFUGO,556,35,17,401
20210424,MONTALTO UFFUGO,556,0,17,346
20210425,MONTALTO UFFUGO,588,32,17,391
20210426,MONTALTO UFFUGO,590,2,18,371
20210427,MONTALTO UFFUGO,591,1,18,376
20210428,MONTALTO UFFUGO,599,8,18,416
20210429,MONTALTO UFFUGO,609,10,18,442
20210430,MONTALTO UFFUGO,610,1,18,271
20210501,MONTALTO UFFUGO,622,12,18,331
20210502,MONTALTO UFFUGO,624,2,18,181
20210503,MONTALTO UFFUGO,624,0,19,171
20210504,MONTALTO UFFUGO,624,0,19,166
20210505,MONTALTO UFFUGO,626,2,19,135
20210506,MONTALTO UFFUGO,626,0,19,85
20210507,MONTALTO UFFUGO,631,5,19,105
20210508,MONTALTO UFFUGO,638,7,19,80
20210509,MONTALTO UFFUGO,646,8,19,110
20210510,MONTALTO UFFUGO,658,12,20,171
20210511,MONTALTO UFFUGO,658,0,20,171
20210513,MONTALTO UFFUGO,662,4,20,181
20210514,MONTALTO UFFUGO,664,2,20,191
20210515,MONTALTO UFFUGO,664,0,20,166
20210516,MONTALTO UFFUGO,669,5,20,156
20210517,MONTALTO UFFUGO,669,0,21,115
20210518,MONTALTO UFFUGO,669,0,21,55
20210519,MONTALTO UFFUGO,673,4,21,75
20210520,MONTALTO UFFUGO,673,0,21,55
20210521,MONTALTO UFFUGO,674,1,21,50
20210522,MONTALTO UFFUGO,678,4,21,70
20210525,MONTALTO UFFUGO,680,2,22,55
20210526,MONTALTO UFFUGO,682,2,22,65
20210528,MONTALTO UFFUGO,683,1,22,70
20210530,MONTALTO UFFUGO,689,6,22,80
20210531,MONTALTO UFFUGO,689,0,23,80
20210601,MONTALTO UFFUGO,690,1,23,80
20210602,MONTALTO UFFUGO,690,0,23,60
20210603,MONTALTO UFFUGO,701,11,23,105
20210604,MONTALTO UFFUGO,701,0,23,95
20210605,MONTALTO UFFUGO,701,0,23,90
20210606,MONTALTO UFFUGO,704,3,23,75
20210607,MONTALTO UFFUGO,703,-1,24,70
20210608,MONTALTO UFFUGO,703,0,24,65
20210611,MONTALTO UFFUGO,711,8,24,105
20210613,MONTALTO UFFUGO,712,1,24,55
20210615,MONTALTO UFFUGO,712,0,25,55
20210618,MONTALTO UFFUGO,712,0,25,55
20210620,MONTALTO UFFUGO,712,0,25,40
20210621,MONTALTO UFFUGO,712,0,26,45
20210623,MONTALTO UFFUGO,712,0,26,45
20210625,MONTALTO UFFUGO,712,0,26,5
20210629,MONTALTO UFFUGO,712,0,27,0
20210630,MONTALTO UFFUGO,712,0,27,0
20210701,MONTALTO UFFUGO,712,0,27,0
20210706,MONTALTO UFFUGO,712,0,28,0
20210708,MONTALTO UFFUGO,713,1,28,5
20210714,MONTALTO UFFUGO,713,0,29,5
20210715,MONTALTO UFFUGO,713,0,29,5
20210726,MONTALTO UFFUGO,715,2,31,15
20210727,MONTALTO UFFUGO,715,0,31,15
20210728,MONTALTO UFFUGO,716,1,31,20
20210729,MONTALTO UFFUGO,719,3,31,35
20210730,MONTALTO UFFUGO,720,1,31,35
20210731,MONTALTO UFFUGO,721,1,31,40
20210801,MONTALTO UFFUGO,721,0,31,40
20210802,MONTALTO UFFUGO,721,0,32,30
20210803,MONTALTO UFFUGO,721,0,32,30
20210804,MONTALTO UFFUGO,722,1,32,30
20210805,MONTALTO UFFUGO,722,0,32,15
20210806,MONTALTO UFFUGO,722,0,32,10
20210807,MONTALTO UFFUGO,722,0,32,5
20210808,MONTALTO UFFUGO,722,0,32,5
20210809,MONTALTO UFFUGO,723,1,33,10
