Data,Comune,Casi da inizio pandemia,Incremento,Settimana,Casi/100000
20210414,RENDE,936,0,16,0
20210415,RENDE,970,34,16,96
20210416,RENDE,988,18,16,147
20210417,RENDE,1018,30,16,231
20210418,RENDE,1033,15,16,273
20210419,RENDE,1035,2,17,279
20210420,RENDE,1037,2,17,285
20210421,RENDE,1075,38,17,392
20210422,RENDE,1093,18,17,347
20210423,RENDE,1116,23,17,361
20210424,RENDE,1125,9,17,302
20210425,RENDE,1144,19,17,313
20210426,RENDE,1148,4,18,319
20210427,RENDE,1148,0,18,313
20210428,RENDE,1155,7,18,226
20210429,RENDE,1177,22,18,237
20210430,RENDE,1177,0,18,172
20210501,RENDE,1178,1,18,149
20210502,RENDE,1190,12,18,130
20210503,RENDE,1196,6,19,135
20210504,RENDE,1198,2,19,141
20210505,RENDE,1202,4,19,132
20210506,RENDE,1202,0,19,70
20210507,RENDE,1219,17,19,118
20210508,RENDE,1219,0,19,116
20210509,RENDE,1236,17,19,130
20210510,RENDE,1238,2,20,118
20210511,RENDE,1238,0,20,113
20210513,RENDE,1244,6,20,118
20210514,RENDE,1251,7,20,138
20210515,RENDE,1251,0,20,90
20210516,RENDE,1258,7,20,110
20210517,RENDE,1258,0,21,62
20210518,RENDE,1258,0,21,56
20210519,RENDE,1260,2,21,62
20210520,RENDE,1265,5,21,59
20210521,RENDE,1266,1,21,42
20210522,RENDE,1267,1,21,45
20210525,RENDE,1282,15,22,68
20210526,RENDE,1283,1,22,70
20210528,RENDE,1294,11,22,101
20210530,RENDE,1306,12,22,130
20210531,RENDE,1306,0,23,116
20210601,RENDE,1307,1,23,116
20210602,RENDE,1308,1,23,116
20210603,RENDE,1309,1,23,76
20210604,RENDE,1315,6,23,90
20210605,RENDE,1316,1,23,62
20210606,RENDE,1321,5,23,42
20210607,RENDE,1322,1,24,45
20210608,RENDE,1323,1,24,45
20210611,RENDE,1326,3,24,51
20210613,RENDE,1330,4,24,59
20210615,RENDE,1330,0,25,42
20210618,RENDE,1330,0,25,39
20210620,RENDE,1334,4,25,37
20210621,RENDE,1334,0,26,34
20210623,RENDE,1335,1,26,34
20210625,RENDE,1335,0,26,25
20210629,RENDE,1337,2,27,20
20210630,RENDE,1337,0,27,20
20210701,RENDE,1338,1,27,23
20210706,RENDE,1340,2,28,17
20210708,RENDE,1341,1,28,20
20210714,RENDE,1342,1,29,20
20210715,RENDE,1342,0,29,20
20210726,RENDE,1351,9,31,39
20210727,RENDE,1351,0,31,39
20210728,RENDE,1352,1,31,39
20210729,RENDE,1354,2,31,39
20210730,RENDE,1355,1,31,39
20210731,RENDE,1356,1,31,39
20210801,RENDE,1360,4,31,51
20210802,RENDE,1360,0,32,25
20210803,RENDE,1360,0,32,25
20210804,RENDE,1362,2,32,28
20210805,RENDE,1370,8,32,45
20210806,RENDE,1370,0,32,42
20210807,RENDE,1371,1,32,42
20210808,RENDE,1373,2,32,37
20210809,RENDE,1373,0,33,37
20210810,RENDE,1374,1,33,39
20210811,RENDE,1376,2,33,39
20210812,RENDE,1377,1,33,20
20210813,RENDE,1378,1,33,23
20210814,RENDE,1379,1,33,23
20210815,RENDE,1380,1,33,20
20210816,RENDE,1380,0,34,20
20210817,RENDE,1380,0,34,17
20210818,RENDE,1382,2,34,17
20210819,RENDE,1386,4,34,25
20210820,RENDE,1386,0,34,23
20210821,RENDE,1389,3,34,28
20210822,RENDE,1390,1,34,28
20210823,RENDE,1390,0,35,28
20210824,RENDE,1390,0,35,28
20210825,RENDE,1394,4,35,34
20210826,RENDE,1401,7,35,42
20210827,RENDE,1406,5,35,56
20210828,RENDE,1406,0,35,48
20210829,RENDE,1406,0,35,45
20210830,RENDE,1406,0,36,45
20210831,RENDE,1415,9,36,70
20210901,RENDE,1411,-4,36,48
20210906,RENDE,1420,9,37,54
20210907,RENDE,1424,4,37,51
20210908,RENDE,1424,0,37,51
20210909,RENDE,1426,2,37,56
20210910,RENDE,1434,8,37,79
20210911,RENDE,1434,0,37,54
20210912,RENDE,1441,7,37,85
20210913,RENDE,1441,0,38,59
20210914,RENDE,1441,0,38,48
20210915,RENDE,1442,1,38,51
20210916,RENDE,1446,4,38,56
20210917,RENDE,1446,0,38,34
20210918,RENDE,1447,1,38,37
20210919,RENDE,1452,5,38,31
20210920,RENDE,1452,0,39,31
20210921,RENDE,1452,0,39,31
20210922,RENDE,1452,0,39,28
20210923,RENDE,1454,2,39,23
20210924,RENDE,1455,1,39,25
20210925,RENDE,1459,4,39,34
20210926,RENDE,1460,1,39,23
20210927,RENDE,1459,-1,40,20
20210928,RENDE,1460,1,40,23
20210929,RENDE,1460,0,40,23
20210930,RENDE,1462,2,40,23
