Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,207,-,-,-,-
ACQUAPPESA,337,-,-,-,-
ACRI,3724,34,-,-,-
AIELLO CALABRO,311,-,-,-,-
AIETA,59,-,-,-,-
ALBIDONA,332,-,-,-,-
ALESSANDRIA DEL CARRETTO,48,-,-,-,-
ALTILIA,179,-,-,-,-
ALTOMONTE,847,-,-,-,-
ALTRA ASP,1045,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4353,25,-,-,-
AMENDOLARA,290,-,-,-,-
APRIGLIANO,567,10,-,-,-
BELMONTE CALABRO,394,-,-,-,-
BELSITO,250,-,-,-,-
BELVEDERE MARITTIMO,1700,10,-,-,-
BIANCHI,364,-,-,-,-
BISIGNANO,2031,20,-,-,-
BOCCHIGLIERO,134,7,-,-,-
BONIFATI,387,7,-,-,-
BUONVICINO,315,-,-,-,-
CALOPEZZATI,478,-,-,-,-
CALOVETO,363,-,-,-,-
CAMPANA,284,7,-,-,-
CANNA,135,-,-,-,-
CARIATI,1220,15,-,-,-
CAROLEI,661,-,-,-,-
CARPANZANO,25,-,-,-,-
CASALI DEL MANCO,2544,22,-,-,-
CASSANO ALLO IONIO,3864,30,-,-,-
CASTIGLIONE COSENTINO,845,8,-,-,-
CASTROLIBERO,2401,18,-,-,-
CASTROREGIO,44,-,-,-,-
CASTROVILLARI,3930,31,-,-,-
CELICO,514,7,-,-,-
CELLARA,110,-,-,-,-
CERCHIARA DI CALABRIA,453,9,-,-,-
CERISANO,726,-,-,-,-
CERVICATI,170,-,-,-,-
CERZETO,311,-,-,-,-
CETRARO,2335,24,-,-,-
CIVITA,64,-,-,-,-
CLETO,267,-,-,-,-
COLOSIMI,378,-,-,-,-
CORIGLIANO-ROSSANO,21385,164,-,-,-
COSENZA,17354,148,-,-,-
CROPALATI,225,-,-,-,-
CROSIA,2546,17,-,-,-
DIAMANTE,849,7,-,-,-
DIPIGNANO,1138,9,-,-,-
