Data,Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg,Attuali ricoverati in altri reparti
20210414,RENDE,936,20,-,15.0,320,
20210415,RENDE,970,20,-,18.0,351,
20210416,RENDE,988,20,-,18.0,364,
20210417,RENDE,1018,20,-,18.0,373,
20210418,RENDE,1033,20,-,19.0,387,
20210419,RENDE,1035,20,-,20.0,387,
20210420,RENDE,1037,20,-,22.0,363,
20210421,RENDE,1075,20,-,21.0,396,
20210422,RENDE,1093,20,-,18.0,416,
20210423,RENDE,1116,20,-,19.0,426,
20210424,RENDE,1125,20,-,18.0,415,
20210425,RENDE,1144,20,1,16.0,427,
20210426,RENDE,1148,20,2,18.0,419,
20210427,RENDE,1148,20,2,,392,16.0
20210428,RENDE,1155,20,2,,395,18.0
20210429,RENDE,1177,21,2,,417,15.0
20210430,RENDE,1177,21,2,,407,14.0
20210501,RENDE,1178,21,2,,405,15.0
20210502,RENDE,1190,21,2,,370,14.0
20210503,RENDE,1196,21,2,,369,12.0
20210504,RENDE,1198,22,3,,367,10.0
20210505,RENDE,1202,22,3,,324,10.0
20210506,RENDE,1202,22,3,,324,10.0
20210507,RENDE,1219,22,2,,341,9.0
20210508,RENDE,1219,22,2,,302,9.0
20210509,RENDE,1236,22,2,,304,6.0
20210510,RENDE,1238,22,1,,295,7.0
20210511,RENDE,1238,22,1,,291,7.0
20210513,RENDE,1244,23,1,,293,7.0
20210514,RENDE,1251,24,1,,296,5.0
20210515,RENDE,1251,24,1,,264,4.0
20210516,RENDE,1258,24,1,,246,3.0
20210517,RENDE,1258,24,1,,223,3.0
20210518,RENDE,1258,24,1,,206,3.0
20210519,RENDE,1260,24,1,,206,3.0
20210520,RENDE,1265,24,1,,211,3.0
20210521,RENDE,1266,24,1,,176,3.0
20210522,RENDE,1267,24,1,,157,2.0
20210525,RENDE,1282,24,1,,126,3.0
20210526,RENDE,1283,24,2,,127,2.0
20210528,RENDE,1294,25,1,,128,3.0
20210530,RENDE,1306,25,1,,117,3.0
20210531,RENDE,1306,25,1,,116,3.0
20210601,RENDE,1307,25,1,,105,4.0
20210602,RENDE,1308,25,1,,99,5.0
20210603,RENDE,1309,25,1,,100,5.0
20210604,RENDE,1315,26,-,,100,4.0
20210605,RENDE,1316,26,-,,95,5.0
20210606,RENDE,1321,26,-,,90,6.0
20210607,RENDE,1322,27,-,,91,5.0
20210608,RENDE,1323,27,-,,75,5.0
20210611,RENDE,1326,27,-,,75,5.0
20210613,RENDE,1330,27,-,,69,3.0
20210615,RENDE,1330,27,-,,63,2.0
20210618,RENDE,1330,27,-,,62,2.0
20210620,RENDE,1334,27,-,,63,2.0
20210621,RENDE,1334,27,-,,62,2.0
20210623,RENDE,1335,27,-,,50,1.0
20210625,RENDE,1335,27,-,,46,1.0
20210629,RENDE,1337,27,-,,26,1.0
20210630,RENDE,1337,27,-,,26,1.0
20210701,RENDE,1338,27,-,,27,-
20210706,RENDE,1340,27,-,,8,-
20210708,RENDE,1341,27,-,,8,-
20210714,RENDE,1342,27,-,,5,-
20210715,RENDE,1342,27,-,,5,-
20210726,RENDE,1351,27,-,,9,2
20210727,RENDE,1351,27,-,,7,2
20210728,RENDE,1352,27,-,,9,2
20210729,RENDE,1354,27,-,,11,2
20210730,RENDE,1355,27,-,,12,2
20210731,RENDE,1356,27,-,,13,1
20210801,RENDE,1360,27,-,,17,1
20210802,RENDE,1360,27,-,,16,1
20210803,RENDE,1360,27,-,,16,1
20210804,RENDE,1362,27,-,,18,1
20210805,RENDE,1370,27,-,,25,1
20210806,RENDE,1370,27,-,,25,1
20210807,RENDE,1371,27,-,,23,2
20210808,RENDE,1373,27,-,,25,2
20210809,RENDE,1373,27,-,,25,2
20210810,RENDE,1374,27,-,,25,3
20210811,RENDE,1376,27,-,,24,3
20210812,RENDE,1377,27,-,,30,4
20210813,RENDE,1378,27,-,,31,4
20210814,RENDE,1379,27,-,,31,4
20210815,RENDE,1380,27,-,,32,4
20210816,RENDE,1380,27,-,,32,4
20210817,RENDE,1380,27,-,,31,4
20210818,RENDE,1382,27,-,,32,4
20210819,RENDE,1386,27,-,,36,2
20210820,RENDE,1386,27,-,,36,1
20210821,RENDE,1389,27,-,,38,1
20210822,RENDE,1390,27,-,,39,1
20210823,RENDE,1390,27,-,,39,1
20210824,RENDE,1390,27,-,,38,1
20210825,RENDE,1394,27,-,,42,1
20210826,RENDE,1401,27,-,,46,1
20210827,RENDE,1406,27,-,,43,1
20210828,RENDE,1406,27,-,,42,1
20210829,RENDE,1406,27,-,,42,1
20210830,RENDE,1406,27,-,,33,1
20210831,RENDE,1415,27,-,,38,1
20210901,RENDE,1411,27,-,,34,1
20210906,RENDE,1420,27,-,,41,1
20210907,RENDE,1424,27,-,,44,1
20210908,RENDE,1424,27,-,,44,1
20210909,RENDE,1426,27,-,,46,1
20210910,RENDE,1434,27,-,,52,1
20210911,RENDE,1434,27,-,,51,1
20210912,RENDE,1441,28,-,,58,-
20210913,RENDE,1441,28,-,,58,-
20210914,RENDE,1441,28,-,,58,-
20210915,RENDE,1442,28,-,,59,-
20210916,RENDE,1446,28,-,,63,-
20210917,RENDE,1446,28,-,,61,-
20210918,RENDE,1447,28,-,,58,-
20210919,RENDE,1452,28,-,,63,-
